date_used|ccli_number|date_reported
2021-10-03|7048542|2022-06-28
2021-10-03|7149144|2022-06-28
2021-10-03|5443853|2022-06-28
2021-10-03|4330156|2022-06-28
2021-10-03|6122070|2022-06-28
2021-10-03|5606157|2022-06-28
2021-10-10|7115744|2022-06-28
2021-10-10|7120458|2022-06-28
2021-10-10|5905810|2022-06-28
2021-10-10|7002032|2022-06-28
2021-10-10|4334482|2022-06-28
2021-10-17|7008196|2022-06-28
2021-10-17|5655957|2022-06-28
2021-10-17|7158243|2022-06-28
2021-10-17|5656190|2022-06-28
2021-10-17|7033176|2022-06-28
2021-10-24|6113704|2022-06-28
2021-10-24|7096771|2022-06-28
2021-10-24|5677416|2022-06-28
2021-10-24|7028158|2022-06-28
2021-10-24|5301500|2022-06-28
2021-10-24|5947469|2022-06-28
2021-10-24|7140831|2022-06-28
2021-11-07|4331007|2022-06-28
2021-11-07|5298170|2022-06-28
2021-11-07|4974189|2022-06-28
2021-11-07|5906981|2022-06-28
2021-11-07|7002032|2022-06-28
2021-11-07|4904898|2022-06-28
2021-11-07|5905810|2022-06-28
2021-11-14|7122006|2022-06-28
2021-11-14|4353353|2022-06-28
2021-11-14|7147007|2022-06-28
2021-11-14|6428767|2022-06-28
2021-11-14|6352819|2022-06-28
2021-11-14|5752276|2022-06-28
2021-11-14|5292815|2022-06-28
2021-11-14|6237525|2022-06-28
2021-11-21|5731682|2022-06-28
2021-11-21|4904544|2022-06-28
2021-11-21|5292994|2022-06-28
2021-11-21|6236942|2022-06-28
2021-11-21|5900255|2022-06-28
2021-11-21|7115744|2022-06-28
2021-11-21|7116987|2022-06-28
2021-11-28|4329954|2022-06-28
2021-11-28|5855537|2022-06-28
2021-11-28|7068424|2022-06-28
2021-11-28|5588206|2022-06-28
2021-11-28|4958105|2022-06-28
2021-12-05|5914629|2022-06-28
2021-12-05|7096771|2022-06-28
2021-12-05|4326005|2022-06-28
2021-12-05|4331007|2022-06-28
2021-12-05|7134465|2022-06-28
2021-12-05|7158243|2022-06-28
2021-12-12|7069458|2022-06-28
2021-12-12|7187851|2022-06-28
2021-12-12|7121602|2022-06-28
2021-12-12|7116987|2022-06-28
2021-12-12|5731682|2022-06-28
2021-12-12|7122399|2022-06-28
2021-12-19|4324296|2022-06-28
2021-12-19|4340270|2022-06-28
2021-12-19|6352819|2022-06-28
2021-12-19|7023299|2022-06-28
2021-12-19|5622186|2022-06-28
2021-12-19|7068424|2022-06-28
2021-12-19|5947469|2022-06-28
